<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;24.02.2021;0:00:00;124.9300000;125.5500000;122.2400000;125.2900000;6228371
US1.AAPL;D;25.02.2021;0:00:00;124.6300000;126.4450000;120.5500000;121.0000000;10414296
US1.AAPL;D;26.02.2021;0:00:00;122.5700000;124.8500000;121.2600000;121.2900000;10135340
US1.AAPL;D;01.03.2021;0:00:00;123.7400000;127.9300000;122.8100000;127.7900000;6593339
US1.AAPL;D;02.03.2021;0:00:00;128.4100000;128.7100000;125.0200000;125.1700000;5689279
US1.AAPL;D;03.03.2021;0:00:00;124.8100000;125.7100000;121.8500000;122.0600000;6346420
US1.AAPL;D;04.03.2021;0:00:00;121.7300000;123.6000000;118.6300000;120.2200000;12441541
US1.AAPL;D;05.03.2021;0:00:00;120.8550000;121.9300000;117.5700000;121.4100000;10121445
US1.AAPL;D;08.03.2021;0:00:00;120.9300000;120.9900000;116.2200000;116.4000000;9656374
US1.AAPL;D;09.03.2021;0:00:00;119.0400000;122.0600000;118.8000000;121.0800000;7643386
US1.AAPL;D;10.03.2021;0:00:00;121.5300000;122.1700000;119.4600000;119.9700000;6543276
US1.AAPL;D;11.03.2021;0:00:00;122.3300000;123.2000000;121.2600000;121.9500000;5026958
US1.AAPL;D;12.03.2021;0:00:00;120.4100000;121.1600000;119.1600000;121.0500000;4927547
US1.AAPL;D;15.03.2021;0:00:00;121.4100000;124.0000000;120.4400000;123.9900000;4090921
US1.AAPL;D;16.03.2021;0:00:00;125.6700000;127.2100000;124.7200000;125.5800000;5892737
US1.AAPL;D;17.03.2021;0:00:00;124.0800000;125.8500000;122.3400000;124.8200000;6467258
US1.AAPL;D;18.03.2021;0:00:00;122.8800000;123.1700000;120.3300000;120.5300000;6210329
US1.AAPL;D;19.03.2021;0:00:00;119.8900000;121.4300000;119.6800000;119.8600000;6076740
US1.AAPL;D;22.03.2021;0:00:00;120.3100000;123.8600000;120.2900000;123.3700000;5314862
US1.AAPL;D;23.03.2021;0:00:00;123.3000000;124.2400000;122.1500000;122.5400000;4506298
US1.AAPL;D;24.03.2021;0:00:00;122.8300000;122.8800000;120.0700000;120.0800000;4524194
US1.AAPL;D;25.03.2021;0:00:00;119.5400000;121.6600000;119.0000000;120.6100000;5788223
