<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ADR.ROSL;D;23/10/20;000000;7.4100000;7.4900000;7.4100000;7.4900000;625
ADR.ROSL;D;26/10/20;000000;7.4600000;7.4900000;7.4400000;7.4700000;115
ADR.ROSL;D;27/10/20;000000;7.3800000;7.4000000;7.2500000;7.2500000;32362
ADR.ROSL;D;28/10/20;000000;7.0500000;7.0500000;6.9800000;7.0000000;20210
ADR.ROSL;D;29/10/20;000000;7.0000000;7.0100000;6.9900000;6.9900000;13888
ADR.ROSL;D;30/10/20;000000;6.9400000;6.9700000;6.9200000;6.9300000;12258
ADR.ROSL;D;02/11/20;000000;6.7600000;6.7600000;6.7400000;6.7400000;411
ADR.ROSL;D;03/11/20;000000;7.0000000;7.0000000;6.9400000;6.9400000;1868
ADR.ROSL;D;06/11/20;000000;7.2100000;7.2100000;7.1700000;7.1800000;4388
ADR.ROSL;D;09/11/20;000000;7.3300000;7.3700000;7.3300000;7.3400000;933
ADR.ROSL;D;10/11/20;000000;7.5000000;7.5300000;7.5000000;7.5300000;448
ADR.ROSL;D;11/11/20;000000;7.5600000;7.5900000;7.5600000;7.5900000;300
ADR.ROSL;D;12/11/20;000000;7.3700000;7.5200000;7.3700000;7.4900000;2667
ADR.ROSL;D;13/11/20;000000;7.4600000;7.4800000;7.4000000;7.4300000;10411
ADR.ROSL;D;16/11/20;000000;7.5500000;7.5600000;7.4600000;7.4700000;309
ADR.ROSL;D;17/11/20;000000;7.4400000;7.4400000;7.4400000;7.4400000;70
ADR.ROSL;D;18/11/20;000000;7.5500000;7.5800000;7.5400000;7.5800000;34477
ADR.ROSL;D;19/11/20;000000;7.4500000;7.4700000;7.4200000;7.4500000;6894
ADR.ROSL;D;20/11/20;000000;7.4200000;7.4500000;7.4000000;7.4500000;6156
ADR.ROSL;D;23/11/20;000000;7.5700000;7.5700000;7.5400000;7.5500000;1635
ADR.ROSL;D;24/11/20;000000;7.5700000;7.5700000;7.5000000;7.5700000;9535
ADR.ROSL;D;25/11/20;000000;7.5700000;7.5700000;7.5700000;7.5700000;1
ADR.ROSL;D;30/11/20;000000;7.4700000;7.5000000;7.4300000;7.4700000;142606
ADR.ROSL;D;02/12/20;000000;7.5600000;7.5800000;7.5600000;7.5800000;3
ADR.ROSL;D;03/12/20;000000;7.7200000;7.8400000;7.7200000;7.8300000;88177
ADR.ROSL;D;04/12/20;000000;7.8500000;7.8600000;7.8300000;7.8300000;3229
ADR.ROSL;D;07/12/20;000000;7.7400000;7.7400000;7.7400000;7.7400000;200
ADR.ROSL;D;08/12/20;000000;7.8200000;7.8500000;7.8200000;7.8500000;116
ADR.ROSL;D;09/12/20;000000;7.9000000;7.9000000;7.8100000;7.8100000;983
ADR.ROSL;D;10/12/20;000000;7.8100000;7.8100000;7.8100000;7.8100000;1
ADR.ROSL;D;11/12/20;000000;7.8600000;7.8700000;7.8400000;7.8400000;71
ADR.ROSL;D;14/12/20;000000;7.9000000;7.9000000;7.9000000;7.9000000;2762
ADR.ROSL;D;15/12/20;000000;7.7600000;7.7900000;7.6000000;7.6000000;24004
ADR.ROSL;D;16/12/20;000000;7.7500000;7.8600000;7.7500000;7.7800000;14832
ADR.ROSL;D;17/12/20;000000;7.8000000;7.8000000;7.8000000;7.8000000;1001
ADR.ROSL;D;21/12/20;000000;7.5300000;7.5300000;7.5300000;7.5300000;1001
ADR.ROSL;D;22/12/20;000000;7.5000000;7.5300000;7.4400000;7.5300000;7771
ADR.ROSL;D;23/12/20;000000;7.5000000;7.5000000;7.4700000;7.4700000;139
ADR.ROSL;D;24/12/20;000000;7.4800000;7.4800000;7.4800000;7.4800000;1
ADR.ROSL;D;29/12/20;000000;7.5200000;7.7700000;7.5200000;7.7700000;8242
ADR.ROSL;D;30/12/20;000000;7.7600000;7.7700000;7.7400000;7.7700000;224
ADR.ROSL;D;31/12/20;000000;7.7900000;7.7900000;7.7900000;7.7900000;413
ADR.ROSL;D;04/01/21;000000;7.9200000;7.9500000;7.8300000;7.9500000;3483
ADR.ROSL;D;05/01/21;000000;7.9200000;7.9200000;7.9100000;7.9200000;3660
